sp_id,name,x_rd,y_rd,capacity
753,753,75319.0,28665.0,100
3343,3343,36589.0,60425.0,100
1934,1934,48959.0,42794.0,100
5820,5820,98158.0,61912.0,100
4356,4356,13591.0,30750.0,100
1739,1739,34610.0,41049.0,100
7859,7859,70101.0,64002.0,100
2155,2155,88897.0,44412.0,100
5706,5706,21384.0,61315.0,100
3513,3513,30029.0,62343.0,100
4431,4431,66641.0,48763.0,100
1204,1204,98488.0,36059.0,100
718,718,88859.0,27856.0,100
657,657,130503.0,26682.0,100
4387,4387,55134.0,39885.0,100
2075,2075,15688.0,43812.0,100
931,931,92296.0,31377.0,100
417,417,92729.0,20245.0,100
284,284,96849.0,8765.0,100
6765,6765,31727.0,7123.0,100
3921,3921,55859.0,76557.0,100
7229,7229,77346.0,46242.0,100
4354,4354,16694.0,48418.0,100
8282,8282,35103.0,48521.0,100
2096,2096,101802.0,43913.0,100
1176,1176,89379.0,35705.0,100
7422,7422,11011.0,52533.0,100
4987,4987,67529.0,44080.0,100
5499,5499,51393.0,53765.0,100
1258,1258,40638.0,36647.0,100
4440,4440,44786.0,44728.0,100
3155,3155,55249.0,58005.0,100
1026,1026,56978.0,33310.0,100
6908,6908,15641.0,62479.0,100
1379,1379,16515.0,38001.0,100
new_potential_sp_0035,Sparse Area Point 0035,9011.0,5123.0,100
new_potential_sp_0036,Sparse Area Point 0036,9011.0,8987.947368421053,100
new_potential_sp_0037,Sparse Area Point 0037,9011.0,12852.894736842105,100
new_potential_sp_0038,Sparse Area Point 0038,9011.0,16717.842105263157,100
new_potential_sp_0039,Sparse Area Point 0039,9011.0,20582.78947368421,100
new_potential_sp_0040,Sparse Area Point 0040,9011.0,24447.736842105263,100
new_potential_sp_0041,Sparse Area Point 0041,9011.0,28312.684210526313,100
new_potential_sp_0042,Sparse Area Point 0042,9011.0,32177.631578947367,100
new_potential_sp_0043,Sparse Area Point 0043,9011.0,36042.57894736842,100
new_potential_sp_0044,Sparse Area Point 0044,9011.0,39907.52631578947,100
new_potential_sp_0045,Sparse Area Point 0045,9011.0,43772.47368421053,100
new_potential_sp_0046,Sparse Area Point 0046,9011.0,47637.42105263158,100
new_potential_sp_0047,Sparse Area Point 0047,9011.0,51502.368421052626,100
new_potential_sp_0048,Sparse Area Point 0048,9011.0,55367.31578947368,100
new_potential_sp_0049,Sparse Area Point 0049,9011.0,59232.26315789473,100
new_potential_sp_0050,Sparse Area Point 0050,9011.0,63097.21052631579,100
new_potential_sp_0051,Sparse Area Point 0051,9011.0,66962.15789473684,100
new_potential_sp_0052,Sparse Area Point 0052,9011.0,70827.1052631579,100
new_potential_sp_0053,Sparse Area Point 0053,9011.0,74692.05263157895,100
new_potential_sp_0054,Sparse Area Point 0054,9011.0,78557.0,100
new_potential_sp_0055,Sparse Area Point 0055,15510.57894736842,5123.0,100
new_potential_sp_0056,Sparse Area Point 0056,15510.57894736842,8987.947368421053,100
new_potential_sp_0057,Sparse Area Point 0057,15510.57894736842,12852.894736842105,100
new_potential_sp_0058,Sparse Area Point 0058,15510.57894736842,16717.842105263157,100
new_potential_sp_0059,Sparse Area Point 0059,15510.57894736842,20582.78947368421,100
new_potential_sp_0060,Sparse Area Point 0060,15510.57894736842,24447.736842105263,100
new_potential_sp_0061,Sparse Area Point 0061,15510.57894736842,28312.684210526313,100
new_potential_sp_0062,Sparse Area Point 0062,15510.57894736842,32177.631578947367,100
