LocationID,day,pred_pickup,pred_home,distance
1026,2,6,6,1212.7329964096493
1026,3,17,18,1212.7329964096493
1026,4,5,6,1212.7329964096493
1026,5,13,15,1212.7329964096493
1026,6,6,7,1212.7329964096493
1026,7,12,12,1212.7329964096493
1026,9,14,15,1212.7329964096493
1026,10,13,13,1212.7329964096493
1026,11,5,6,1212.7329964096493
1026,12,11,12,1212.7329964096493
1026,13,12,12,1212.7329964096493
1026,14,6,7,1212.7329964096493
1026,16,10,9,1212.7329964096493
1026,17,13,15,1212.7329964096493
1026,18,17,16,1212.7329964096493
1026,19,17,18,1212.7329964096493
1026,20,8,7,1212.7329964096493
1026,21,3,6,1212.7329964096493
1026,23,12,12,1212.7329964096493
1026,24,17,20,1212.7329964096493
1026,25,3,6,1212.7329964096493
1026,26,5,6,1212.7329964096493
1026,27,8,7,1212.7329964096493
1026,28,13,13,1212.7329964096493
1026,30,12,12,1212.7329964096493
1026,31,18,23,1212.7329964096493
1026,32,11,11,1212.7329964096493
1026,33,10,10,1212.7329964096493
1026,34,9,7,1212.7329964096493
1026,35,11,10,1212.7329964096493
1026,37,13,13,1212.7329964096493
1026,38,9,8,1212.7329964096493
1026,39,4,6,1212.7329964096493
1026,40,10,10,1212.7329964096493
1026,41,13,12,1212.7329964096493
1026,42,13,15,1212.7329964096493
1026,44,9,9,1212.7329964096493
1026,45,18,22,1212.7329964096493
1026,46,8,7,1212.7329964096493
1026,47,1,6,1212.7329964096493
1026,48,9,7,1212.7329964096493
1026,49,17,22,1212.7329964096493
1026,51,6,7,1212.7329964096493
1026,52,17,17,1212.7329964096493
1026,53,13,14,1212.7329964096493
1026,54,11,11,1212.7329964096493
1026,55,11,12,1212.7329964096493
1026,56,16,16,1212.7329964096493
1026,58,11,10,1212.7329964096493
1026,59,16,15,1212.7329964096493
1026,60,9,7,1212.7329964096493
1026,61,2,6,1212.7329964096493
1026,62,14,15,1212.7329964096493
1026,63,6,6,1212.7329964096493
1026,65,16,15,1212.7329964096493
1026,66,4,6,1212.7329964096493
1026,67,16,15,1212.7329964096493
1026,68,11,11,1212.7329964096493
1026,69,5,6,1212.7329964096493
1026,70,12,12,1212.7329964096493
1026,72,13,14,1212.7329964096493
1026,73,6,7,1212.7329964096493
1026,74,12,12,1212.7329964096493
1026,75,11,12,1212.7329964096493
1026,76,6,6,1212.7329964096493
1026,77,1,4,1212.7329964096493
1026,79,13,12,1212.7329964096493
1026,80,5,6,1212.7329964096493
1026,81,10,9,1212.7329964096493
1026,82,2,6,1212.7329964096493
1026,83,13,15,1212.7329964096493
1026,84,1,5,1212.7329964096493
1026,86,15,15,1212.7329964096493
1026,87,11,12,1212.7329964096493
1026,88,7,7,1212.7329964096493
1026,89,8,7,1212.7329964096493
1026,90,17,16,1212.7329964096493
1026,91,6,7,1212.7329964096493
1026,93,2,6,1212.7329964096493
1026,94,13,12,1212.7329964096493
1026,95,5,6,1212.7329964096493
1026,96,9,7,1212.7329964096493
1026,97,17,19,1212.7329964096493
1026,98,20,24,1212.7329964096493
1026,100,1,6,1212.7329964096493
1026,101,17,20,1212.7329964096493
1026,102,8,7,1212.7329964096493
1026,103,10,9,1212.7329964096493
1026,104,11,10,1212.7329964096493
1026,105,6,7,1212.7329964096493
1026,107,4,6,1212.7329964096493
1026,108,1,3,1212.7329964096493
1026,109,8,7,1212.7329964096493
1026,110,11,12,1212.7329964096493
1026,111,12,12,1212.7329964096493
1026,112,7,7,1212.7329964096493
1026,114,3,6,1212.7329964096493
1026,115,1,6,1212.7329964096493
1026,116,11,12,1212.7329964096493
1026,117,17,16,1212.7329964096493
1026,118,1,3,1212.7329964096493
1026,119,4,6,1212.7329964096493
1026,121,5,6,1212.7329964096493
1026,122,3,6,1212.7329964096493
1026,123,11,12,1212.7329964096493
1026,124,11,12,1212.7329964096493
1026,125,1,6,1212.7329964096493
1026,126,17,16,1212.7329964096493
1026,128,3,6,1212.7329964096493
1026,129,11,12,1212.7329964096493
1026,130,11,10,1212.7329964096493
1026,131,6,6,1212.7329964096493
1026,132,1,3,1212.7329964096493
1026,133,4,6,1212.7329964096493
1026,135,8,7,1212.7329964096493
1026,136,14,15,1212.7329964096493
1026,137,10,10,1212.7329964096493
1026,138,3,6,1212.7329964096493
1026,139,6,6,1212.7329964096493
1026,140,11,12,1212.7329964096493
1026,142,6,7,1212.7329964096493
1026,143,9,8,1212.7329964096493
1026,144,7,7,1212.7329964096493
1026,145,13,15,1212.7329964096493
1026,146,16,16,1212.7329964096493
1026,147,16,15,1212.7329964096493
1026,149,8,7,1212.7329964096493
1026,150,13,14,1212.7329964096493
1026,151,5,6,1212.7329964096493
1026,152,9,7,1212.7329964096493
1026,153,13,12,1212.7329964096493
1026,154,11,12,1212.7329964096493
1026,156,6,7,1212.7329964096493
1026,157,17,16,1212.7329964096493
1026,158,1,3,1212.7329964096493
1026,159,13,12,1212.7329964096493
1026,160,9,8,1212.7329964096493
1026,161,5,6,1212.7329964096493
1026,163,16,15,1212.7329964096493
1026,164,12,12,1212.7329964096493
1026,165,8,7,1212.7329964096493
1026,166,7,7,1212.7329964096493
1026,167,6,6,1212.7329964096493
1026,168,7,7,1212.7329964096493
1026,170,7,7,1212.7329964096493
1026,171,17,20,1212.7329964096493
1026,172,12,12,1212.7329964096493
1026,173,8,7,1212.7329964096493
1026,174,3,6,1212.7329964096493
1026,175,14,15,1212.7329964096493
1026,177,10,9,1212.7329964096493
1026,178,10,9,1212.7329964096493
1026,179,17,16,1212.7329964096493
1026,180,9,8,1212.7329964096493
1026,181,13,14,1212.7329964096493
1026,182,17,22,1212.7329964096493
1026,184,11,12,1212.7329964096493
1026,185,15,15,1212.7329964096493
1026,186,16,15,1212.7329964096493
1026,187,1,5,1212.7329964096493
1026,188,9,7,1212.7329964096493
1026,189,4,6,1212.7329964096493
1026,191,9,9,1212.7329964096493
1026,192,6,7,1212.7329964096493
1026,193,8,7,1212.7329964096493
1026,195,0,2,1212.7329964096493
1026,196,3,6,1212.7329964096493
1026,198,1,6,1212.7329964096493
1026,199,1,3,1212.7329964096493
1026,200,2,6,1212.7329964096493
1026,201,9,7,1212.7329964096493
1026,202,4,6,1212.7329964096493
1026,203,3,6,1212.7329964096493
1026,205,1,3,1212.7329964096493
1026,206,4,6,1212.7329964096493
1026,207,1,3,1212.7329964096493
1026,208,1,5,1212.7329964096493
1026,209,8,7,1212.7329964096493
1026,210,1,6,1212.7329964096493
1026,212,1,6,1212.7329964096493
1026,213,13,15,1212.7329964096493
1026,214,1,4,1212.7329964096493
1026,215,2,6,1212.7329964096493
1026,216,0,1,1212.7329964096493
1026,217,3,6,1212.7329964096493
1026,219,1,6,1212.7329964096493
1026,220,0,2,1212.7329964096493
1026,221,1,5,1212.7329964096493
1026,222,1,3,1212.7329964096493
1026,223,6,6,1212.7329964096493
1026,224,2,6,1212.7329964096493
1026,226,1,6,1212.7329964096493
1026,227,12,12,1212.7329964096493
1026,228,6,7,1212.7329964096493
1026,229,1,3,1212.7329964096493
1026,230,3,6,1212.7329964096493
1026,231,3,6,1212.7329964096493
1026,233,1,6,1212.7329964096493
1026,234,8,7,1212.7329964096493
1026,235,1,2,1212.7329964096493
1026,236,9,7,1212.7329964096493
1026,237,0,2,1212.7329964096493
1026,238,1,5,1212.7329964096493
1026,240,6,7,1212.7329964096493
1026,241,11,10,1212.7329964096493
1026,242,1,2,1212.7329964096493
1026,243,11,12,1212.7329964096493
1026,244,11,11,1212.7329964096493
1026,245,6,7,1212.7329964096493
1026,247,1,4,1212.7329964096493
1026,248,11,12,1212.7329964096493
1026,249,1,6,1212.7329964096493
1026,250,10,10,1212.7329964096493
1026,251,17,21,1212.7329964096493
1026,252,13,14,1212.7329964096493
1026,254,15,15,1212.7329964096493
1026,255,11,10,1212.7329964096493
1026,256,6,7,1212.7329964096493
1026,257,9,7,1212.7329964096493
1026,258,16,16,1212.7329964096493
1026,259,10,9,1212.7329964096493
1026,261,15,15,1212.7329964096493
1026,262,17,20,1212.7329964096493
1026,263,1,6,1212.7329964096493
1026,264,11,11,1212.7329964096493
1026,265,10,10,1212.7329964096493
