node_id,total_delivery_cost,num_parcels_year,mean_cost_per_parcel,potential_savings,net_benefit,x_rd,y_rd
102,760.2724413708041,77,9.873668069750703,86493.33229101617,76493.33229101617,10786.0,74845.0
8340,1553.0603286895077,175,8.87463044965433,77741.76273897193,67741.76273897193,138489.0,83749.0
6856,234.22885185145165,32,7.319651620357864,64120.14819433489,54120.14819433489,122189.0,89112.0
4796,627.1801774627603,89,7.04696828609843,61731.442186222244,51731.442186222244,4922.0,57093.0
6685,517.7950667555994,76,6.813092983626308,59682.69453656646,49682.69453656646,99627.0,89553.0
6992,293.24859390633077,46,6.374969432746321,55844.73223085777,45844.73223085777,82259.0,58942.0
4318,6.359407971705824,1,6.359407971705824,55708.41383214302,45708.41383214302,29285.0,78310.0
3159,158.54109622852508,26,6.097734470327888,53416.1539600723,43416.1539600723,132511.0,58038.0
5374,946.7930079781593,159,5.954673006151945,52162.93553389104,42162.93553389104,127784.0,73194.0
4254,653.8905607299669,113,5.786642130353689,50690.98506189832,40690.98506189832,79582.0,89411.0
4901,163.10823296593128,31,5.2615559021268155,46091.2297026309,36091.2297026309,56042.0,3795.0
206,1000.9155559209929,192,5.213101853755171,45666.772238895304,35666.772238895304,72042.0,4328.0
7110,519.8705039918684,100,5.198705039918684,45540.65614968767,35540.65614968767,128304.0,3344.0
4797,40.49076258309814,8,5.061345322887267,44337.38502849246,34337.38502849246,0.0,8728.0
53,10.03948428985523,2,5.019742144927615,43972.94118956591,33972.94118956591,47938.0,87565.0
8219,1263.8454869076943,269,4.698310360251652,41157.19875580447,31157.19875580447,89916.0,76421.0
7514,123.23653076706519,30,4.107884358902173,35985.06698398304,25985.066983983037,108302.0,74904.0
2101,355.528600227074,93,3.8228881744846666,33488.50040848568,23488.500408485677,126434.0,43949.0
465,228.82710762431063,60,3.813785127071844,33408.75771314935,23408.757713149353,39472.0,21277.0
5957,266.7120525919508,76,3.509369113051984,30742.073430335382,20742.073430335382,24247.0,16472.0
