service_point_id,capacity,fixed_yearly_cost,variable_yearly_cost,storage_yearly_cost,total_yearly_cost
1026,93,50000,14376.40,1934.50,66310.90
1176,0,50000,0.00,0.00,50000.00
1204,161,50000,7266.41,2372.50,59638.91
1258,0,50000,0.00,0.00,50000.00
1379,293,50000,24069.53,6132.00,80201.53
1739,296,50000,21674.47,5803.50,77477.97
1934,144,50000,20580.62,4380.00,74960.62
2075,233,50000,26035.98,6314.50,82350.48
2096,0,50000,0.00,0.00,50000.00
2155,0,50000,0.00,0.00,50000.00
284,0,50000,0.00,0.00,50000.00
3155,0,50000,0.00,0.00,50000.00
3343,0,50000,0.00,0.00,50000.00
3513,159,50000,9597.81,3175.50,62773.31
3921,0,50000,0.00,0.00,50000.00
417,160,50000,7377.19,2518.50,59895.69
4354,126,50000,14123.16,3175.50,67298.66
4356,0,50000,0.00,0.00,50000.00
4387,185,50000,27622.59,5876.50,83499.09
4431,268,50000,18822.42,4453.00,73275.42
4440,325,50000,16649.60,6168.50,72818.10
4987,263,50000,21356.56,6387.50,77744.06
5499,177,50000,20774.49,5913.00,76687.49
5706,233,50000,20146.49,5840.00,75986.49
5820,0,50000,0.00,0.00,50000.00
657,0,50000,0.00,0.00,50000.00
6765,0,50000,0.00,0.00,50000.00
6908,161,50000,10669.87,2847.00,63516.87
718,0,50000,0.00,0.00,50000.00
7229,388,50000,101905.42,17994.50,169899.92
7422,0,50000,0.00,0.00,50000.00
753,0,50000,0.00,0.00,50000.00
7859,0,50000,0.00,0.00,50000.00
8282,299,50000,28178.54,8468.00,86646.54
931,105,50000,4464.84,1971.00,56435.84
