service_point_id,capacity,fixed_yearly_cost,variable_yearly_cost,storage_yearly_cost,total_yearly_cost
1026,93,50000,12398.66,1934.50,64333.16
1176,0,50000,8232.43,0.00,58232.43
1204,161,50000,6202.22,2372.50,58574.72
1258,0,50000,4653.60,0.00,54653.60
1379,293,50000,20581.46,6132.00,76713.46
1739,296,50000,18414.35,5803.50,74217.85
1934,144,50000,17329.06,4380.00,71709.06
2075,233,50000,22142.44,6314.50,78456.94
2096,0,50000,7914.77,0.00,57914.77
2155,0,50000,17321.24,0.00,67321.24
284,0,50000,13582.77,0.00,63582.77
3155,0,50000,14597.26,0.00,64597.26
3343,0,50000,42525.03,0.00,92525.03
3513,159,50000,8202.31,3175.50,61377.81
3921,0,50000,5233.01,0.00,55233.01
417,160,50000,6175.51,2518.50,58694.01
4354,126,50000,12037.31,3175.50,65212.81
4356,0,50000,24004.74,0.00,74004.74
4387,185,50000,23687.21,5876.50,79563.71
4431,268,50000,15945.81,4453.00,70398.81
4440,325,50000,14268.28,6168.50,70436.78
4987,263,50000,18007.70,6387.50,74395.20
5499,177,50000,17760.54,5913.00,73673.54
5706,233,50000,17197.66,5840.00,73037.66
5820,0,50000,474476.49,0.00,524476.49
657,0,50000,35351.85,0.00,85351.85
6765,0,50000,3009.64,0.00,53009.64
6908,161,50000,8983.21,2847.00,61830.21
718,0,50000,10513.03,0.00,60513.03
7229,388,50000,87399.05,17994.50,155393.55
7422,0,50000,1019.47,0.00,51019.47
753,0,50000,77280.14,0.00,127280.14
7859,0,50000,66512.09,0.00,116512.09
8282,299,50000,24230.34,8468.00,82698.34
931,105,50000,3743.19,1971.00,55714.19
